outer_fold,corridor,frontier_point_id,common_signal_count,comparison_status,left_hit_rate,right_hit_rate,delta_hit_rate,left_mean_regret_bps,right_mean_regret_bps,delta_mean_regret_bps
outer_2023,RUB_TJS,budget_02,18,active,0.7777777777777778,0.8333333333333334,0.05555555555555558,33.511300584,20.48068237002222,-13.030618213977778
outer_2023,RUB_TJS,budget_03,21,active,0.7619047619047619,0.8095238095238095,0.04761904761904767,34.86823361122381,29.288074334228572,-5.580159276995236
outer_2023,RUB_TJS,budget_04,23,active,0.8260869565217391,0.8260869565217391,0.0,28.81669415197391,29.6016185312913,0.7849243793173919
outer_2023,RUB_TJS,budget_05,34,active,0.8529411764705882,0.8235294117647058,-0.02941176470588236,24.00413706392647,26.19491641859412,2.1907793546676473
outer_2023,RUB_TJS,budget_06,38,active,0.8157894736842105,0.8157894736842105,0.0,25.698307707868423,38.36031969014737,12.662011982278948
outer_2023,RUB_TJS,budget_07,42,active,0.6190476190476191,0.7857142857142857,0.16666666666666663,70.70369101870239,47.51833600100714,-23.185355017695244
outer_2023,RUB_TJS,budget_08,47,active,0.5957446808510638,0.6808510638297872,0.08510638297872342,72.7190305077617,65.94721828012553,-6.771812227636175
outer_2023,RUB_TJS,budget_09,51,active,0.6274509803921569,0.6470588235294118,0.019607843137254943,72.04696855279019,68.61129769049609,-3.435670862294103
outer_2023,RUB_TJS,budget_10,51,active,0.6274509803921569,0.6470588235294118,0.019607843137254943,72.04696855279019,68.61129769049609,-3.435670862294103
outer_2023,RUB_TJS,budget_11,51,active,0.6274509803921569,0.6470588235294118,0.019607843137254943,72.04696855279019,68.61129769049609,-3.435670862294103
outer_2023,RUB_TJS,budget_12,51,active,0.6274509803921569,0.6470588235294118,0.019607843137254943,72.04696855279019,68.61129769049609,-3.435670862294103
outer_2023,RUB_TJS,budget_13,51,active,0.6274509803921569,0.6470588235294118,0.019607843137254943,72.04696855279019,68.61129769049609,-3.435670862294103
outer_2023,RUB_UZS,budget_00,7,active,1.0,0.8571428571428571,-0.1428571428571429,0.0,17.10494683122857,17.10494683122857
outer_2023,RUB_UZS,budget_01,9,active,1.0,0.8888888888888888,-0.11111111111111116,0.0,13.303847535400001,13.303847535400001
outer_2023,RUB_UZS,budget_02,18,active,0.8888888888888888,0.7777777777777778,-0.11111111111111105,16.551707339838888,23.050284228422225,6.498576888583337
outer_2023,RUB_UZS,budget_03,21,active,0.8571428571428571,0.8095238095238095,-0.04761904761904756,16.988251884595236,20.441317774242858,3.453065889647622
outer_2023,RUB_UZS,budget_04,27,active,0.8148148148148148,0.8148148148148148,0.0,27.153523063496294,27.430865470244445,0.2773424067481507
outer_2023,RUB_UZS,budget_05,31,active,0.8064516129032258,0.8064516129032258,0.0,27.32209131063226,29.096771233829035,1.774679923196775
outer_2023,RUB_UZS,budget_06,37,active,0.7837837837837838,0.8378378378378378,0.05405405405405406,28.542380442975677,25.78963149019729,-2.7527489527783864
outer_2023,RUB_UZS,budget_07,40,active,0.75,0.825,0.07499999999999996,47.264427350507496,40.999796192430004,-6.264631158077492
outer_2023,RUB_UZS,budget_08,47,active,0.6808510638297872,0.6382978723404256,-0.04255319148936165,64.50733310831276,69.65856793219999,5.151234823887222
outer_2023,RUB_UZS,budget_09,51,active,0.6078431372549019,0.6078431372549019,0.0,84.4918969142765,84.49189691427648,-1.4210854715202004e-14
outer_2023,RUB_UZS,budget_10,51,active,0.6078431372549019,0.6078431372549019,0.0,84.4918969142765,84.49189691427648,-1.4210854715202004e-14
outer_2023,RUB_UZS,budget_11,51,active,0.6078431372549019,0.6078431372549019,0.0,84.4918969142765,84.49189691427648,-1.4210854715202004e-14
outer_2023,RUB_UZS,budget_12,51,active,0.6078431372549019,0.6078431372549019,0.0,84.4918969142765,84.49189691427648,-1.4210854715202004e-14
outer_2023,RUB_UZS,budget_13,51,active,0.6078431372549019,0.6078431372549019,0.0,84.4918969142765,84.49189691427648,-1.4210854715202004e-14
outer_2024,RUB_AMD,budget_00,10,active,0.8,0.8,0.0,16.256837949250002,21.928787757979997,5.671949808729995
outer_2024,RUB_AMD,budget_01,25,active,0.88,0.88,0.0,18.595496270332,13.676384025851998,-4.919112244480001
outer_2024,RUB_AMD,budget_02,30,active,0.8666666666666667,0.8666666666666667,0.0,17.76742091975333,16.406390315523332,-1.3610306042299989
outer_2024,RUB_AMD,budget_03,35,active,0.8571428571428571,0.8857142857142857,0.02857142857142858,17.164562543534288,16.584382616531432,-0.580179927002856
outer_2024,RUB_AMD,budget_04,41,active,0.7804878048780488,0.8048780487804879,0.024390243902439046,30.961185806046338,29.121876973692686,-1.8393088323536517
outer_2024,RUB_AMD,budget_05,44,active,0.7272727272727273,0.7727272727272727,0.045454545454545414,49.36679920444319,43.38739720007499,-5.979402004368197
outer_2024,RUB_AMD,budget_06,44,active,0.7045454545454546,0.7954545454545454,0.09090909090909083,53.513680245686366,41.562789450377274,-11.950890795309093
outer_2024,RUB_AMD,budget_07,48,active,0.7291666666666666,0.7291666666666666,0.0,57.14346155465833,53.14829686477708,-3.99516468988125
outer_2024,RUB_AMD,budget_08,49,active,0.7142857142857143,0.7142857142857143,0.0,60.19188928421429,54.22671959794898,-5.9651696862653125
outer_2024,RUB_AMD,budget_09,54,active,0.6851851851851852,0.6481481481481481,-0.03703703703703709,68.38082937778148,72.13589562432963,3.7550662465481537
outer_2024,RUB_AMD,budget_10,54,active,0.6851851851851852,0.6481481481481481,-0.03703703703703709,68.38082937778148,72.13589562432963,3.7550662465481537
outer_2024,RUB_AMD,budget_11,54,active,0.6851851851851852,0.6481481481481481,-0.03703703703703709,68.38082937778148,72.13589562432963,3.7550662465481537
outer_2024,RUB_AMD,budget_12,54,active,0.6851851851851852,0.6481481481481481,-0.03703703703703709,68.38082937778148,72.13589562432963,3.7550662465481537
outer_2024,RUB_AMD,budget_13,54,active,0.6851851851851852,0.6481481481481481,-0.03703703703703709,68.38082937778148,72.13589562432963,3.7550662465481537
outer_2024,RUB_KGS,budget_00,15,active,0.8666666666666667,0.8666666666666667,0.0,19.034132210846668,16.355438294106666,-2.678693916740002
