variant,corridor,baseline,random_mode,universe_id,outcome_id,random_hit_rate,random_hit_rate_mcse,random_hit_rate_ci_low,random_hit_rate_ci_high,model_hit_rate,delta_hit_rate,lift,random_mean_regret_bps,random_p90_regret_bps,artifact_schema_version,evaluation_protocol_version,policy_version,matched_random_version
operating,RUB_TJS,conditional,month_update_gap,6c83e17844187e4f49485ed1:gate28_50,conditional_message_hit_v2,0.599047619047619,0.006889991984877673,0.5238095238095238,0.6948412698412698,0.6031746031746031,0.00412698412698409,1.0068892421833597,106.69854327375658,277.840708462573,3,temporal_v3,4,4
operating,RUB_UZS,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.6559090909090908,0.0034974631193494107,0.6161931818181818,0.7045454545454546,0.6363636363636364,-0.01954545454545442,0.9702009702009704,73.68586640314578,224.40257947705092,3,temporal_v3,4,4
operating,RUB_UZS,future_safety,calendar_month,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.5552272727272727,0.006558200458471802,0.4596590909090909,0.6224431818181818,0.6363636363636364,0.08113636363636367,1.1461318051575933,103.99083744388392,303.68221108430413,3,temporal_v3,4,4
operating,RUB_UZS,future_safety,month_update_gap,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.6104545454545455,0.005633280621895148,0.5454545454545454,0.6818181818181818,0.6363636363636364,0.02590909090909088,1.0424422933730453,83.19342089883321,237.4680267402281,3,temporal_v3,4,4
operating,RUB_UZS,product,calendar_month_weekday,6c83e17844187e4f49485ed1:full,gate28_50_and_message_hit_v1,0.45,0.0048484365334636615,0.3977272727272727,0.5113636363636364,0.6363636363636364,0.18636363636363634,1.4141414141414141,74.04880669775137,226.39063010511373,3,temporal_v3,4,4
operating,RUB_UZS,product,calendar_month,6c83e17844187e4f49485ed1:full,gate28_50_and_message_hit_v1,0.3611363636363636,0.006348129131037575,0.2690340909090909,0.4318181818181818,0.6363636363636364,0.27522727272727276,1.762114537444934,102.49297158018985,299.59600665829214,3,temporal_v3,4,4
operating,RUB_UZS,product,month_update_gap,6c83e17844187e4f49485ed1:full,gate28_50_and_message_hit_v1,0.4,0.005835130115458255,0.32073863636363636,0.4659090909090909,0.6363636363636364,0.23636363636363633,1.5909090909090908,86.71164088883741,246.08082135529037,3,temporal_v3,4,4
operating,RUB_UZS,conditional,calendar_month_weekday,6c83e17844187e4f49485ed1:gate28_50,conditional_message_hit_v2,0.6429545454545454,0.0024098259109108433,0.6136363636363636,0.6704545454545454,0.6363636363636364,-0.006590909090909092,0.9897490279250618,65.32177518982762,204.28461781719855,3,temporal_v3,4,4
operating,RUB_UZS,conditional,calendar_month,6c83e17844187e4f49485ed1:gate28_50,conditional_message_hit_v2,0.5759090909090909,0.005757290947615031,0.5025568181818182,0.6363636363636364,0.6363636363636364,0.06045454545454543,1.1049723756906076,93.43683852932078,280.8916499492909,3,temporal_v3,4,4
operating,RUB_UZS,conditional,month_update_gap,6c83e17844187e4f49485ed1:gate28_50,conditional_message_hit_v2,0.6120454545454546,0.005490853954188764,0.5366477272727272,0.6678977272727272,0.6363636363636364,0.024318181818181794,1.0397326401782399,78.2841088284978,225.72029666786398,3,temporal_v3,4,4
rf_frequency_control,RUB_AMD,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.5823076923076923,0.001699824908896959,0.5617521367521368,0.6058760683760683,0.594017094017094,0.011709401709401712,1.0201086158814032,89.55767187119417,253.23531461660355,3,temporal_v3,4,4
rf_frequency_control,RUB_KGS,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.5857510729613734,0.0015080278739073652,0.5622317596566524,0.6008583690987125,0.5665236051502146,-0.019227467811158805,0.9671746776084408,84.79028001195701,231.74321807906006,3,temporal_v3,4,4
rf_frequency_control,RUB_KZT,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.5387719298245613,0.0019019567789377615,0.5175438596491229,0.5648026315789474,0.5394736842105263,0.0007017543859649811,1.0013025073266038,90.75620401130027,238.0851253459424,3,temporal_v3,4,4
rf_frequency_control,RUB_TJS,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.6011111111111112,0.001498452575431733,0.5854700854700855,0.6186965811965812,0.6111111111111112,0.010000000000000009,1.0166358595194085,87.44792660584004,236.60515182382173,3,temporal_v3,4,4
rf_frequency_control,RUB_UZS,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.56,0.0015859468011827822,0.5431034482758621,0.5818965517241379,0.5560344827586207,-0.0039655172413793904,0.9929187192118225,89.34188276013792,243.26523826005266,3,temporal_v3,4,4
