policy,corridor,horizon_days,test_year,threshold,signals,signals_per_week,signal_hit_rate,random_hit_rate,lift,wait_days_mean,waiting_cost_bps_mean,waiting_cost_bps_median
fast,RUB_UZS,5,2024,0.5751062330054468,38,0.7514124293785311,0.631578947368421,0.5564035087719299,1.1351095696042879,,,
slow,RUB_UZS,5,2024,0.5751062330054468,28,0.5536723163841808,0.6428571428571429,0.5332142857142858,1.2056262558606832,1.0714285714285714,27.1052195335517,32.72461437607954
fast,RUB_UZS,5,2025,0.616565141013922,25,0.49295774647887325,0.52,0.40133333333333326,1.2956810631229239,,,
slow,RUB_UZS,5,2025,0.616565141013922,15,0.29577464788732394,0.4666666666666667,0.3417777777777778,1.365409622886866,1.0,42.88166121792865,29.77447685818646
fast,RUB_UZS,5,2026,0.6402989631984461,5,0.1541850220264317,0.6,0.35333333333333333,1.6981132075471697,,,
slow,RUB_UZS,5,2026,0.6402989631984461,3,0.09251101321585903,0.6666666666666666,0.21666666666666667,3.0769230769230766,1.0,46.5512900366168,40.529073343142926
fast,RUB_UZS,10,2022,0.3532253214647972,30,0.5932203389830508,0.26666666666666666,0.2064444444444444,1.2917115177610337,,,
slow,RUB_UZS,10,2022,0.3532253214647972,26,0.5141242937853108,0.2692307692307692,0.1762820512820513,1.5272727272727271,2.0,-46.916613407405826,-18.12480988447829
fast,RUB_UZS,10,2023,3.4293370260369224e-05,51,1.0084745762711864,0.43137254901960786,0.4839869281045752,0.8912896691424712,,,
slow,RUB_UZS,10,2023,3.4293370260369224e-05,51,1.0084745762711864,0.43137254901960786,0.4822875816993465,0.8944301395853096,2.7254901960784315,16.345162044777297,12.277506142348571
fast,RUB_UZS,10,2024,0.38154319090831446,44,0.8700564971751413,0.5,0.47401515151515144,1.054818603164456,,,
slow,RUB_UZS,10,2024,0.38154319090831446,40,0.7909604519774012,0.55,0.43833333333333335,1.2547528517110267,1.8,30.05153424296939,18.921943577114853
fast,RUB_UZS,10,2025,0.5423649658746063,1,0.019718309859154928,0.0,0.7766666666666666,0.0,,,
slow,RUB_UZS,10,2025,0.5423649658746063,0,0.0,,,,,,
fast,RUB_UZS,10,2026,0.34586711528222475,30,0.9502262443438914,0.4,0.3864444444444445,1.0350776308223117,,,
slow,RUB_UZS,10,2026,0.34586711528222475,29,0.918552036199095,0.4482758620689655,0.37931034482758624,1.1818181818181817,1.7586206896551724,18.193922651336774,27.458486114970704
fast,RUB_UZS,20,2022,0.18228107657758658,35,0.692090395480226,0.17142857142857143,0.14142857142857143,1.2121212121212122,,,
slow,RUB_UZS,20,2022,0.18228107657758658,29,0.5734463276836158,0.20689655172413793,0.1442528735632184,1.4342629482071714,2.310344827586207,-28.86595171781412,-1.360792915753306
fast,RUB_UZS,20,2023,0.0011073759004434972,51,1.0084745762711864,0.35294117647058826,0.40836601307189546,0.8642765685019206,,,
slow,RUB_UZS,20,2023,0.0011073759004434972,51,1.0084745762711864,0.37254901960784315,0.4074509803921569,0.9143407122232916,2.7254901960784315,16.345162044777297,12.277506142348571
fast,RUB_UZS,20,2024,0.20563273218876138,53,1.0480225988700564,0.33962264150943394,0.37421383647798745,0.9075630252100839,,,
slow,RUB_UZS,20,2024,0.20563273218876138,50,0.9887005649717514,0.36,0.3574666666666666,1.0070869078701978,2.36,13.596730628250175,10.05165221651283
fast,RUB_UZS,20,2025,0.2864496733278088,35,0.6901408450704225,0.2,0.22114285714285714,0.9043927648578812,,,
slow,RUB_UZS,20,2025,0.2864496733278088,25,0.49295774647887325,0.16,0.114,1.4035087719298245,1.8,33.34090656999398,28.963664462609007
fast,RUB_UZS,20,2026,0.2491419861984839,25,0.8254716981132075,0.48,0.3104,1.5463917525773194,,,
slow,RUB_UZS,20,2026,0.2491419861984839,18,0.5943396226415094,0.5555555555555556,0.272037037037037,2.042205582028591,2.111111111111111,9.275810524269192,30.42616792379493
fast,RUB_KGS,1,2022,0.9551640744311837,3,0.059322033898305086,1.0,0.9122222222222223,1.0962241169305724,,,
slow,RUB_KGS,1,2022,0.9551640744311837,0,0.0,,,,,,
fast,RUB_KGS,1,2023,0.5750606033913176,49,0.9689265536723164,0.8367346938775511,0.7884353741496598,1.0612597066436584,,,
slow,RUB_KGS,1,2023,0.5750606033913176,41,0.8107344632768362,0.8048780487804879,0.8014634146341463,1.004260499087036,2.268292682926829,13.70672463482596,10.80681660740046
fast,RUB_KGS,1,2024,0.8545581978320991,49,0.9689265536723164,0.9387755102040817,0.8551700680272109,1.0977646965237453,,,
slow,RUB_KGS,1,2024,0.8545581978320991,21,0.4152542372881356,1.0,0.8566666666666667,1.1673151750972763,1.6666666666666667,27.404363581075856,12.049263710975922
fast,RUB_KGS,1,2025,0.9182050067957731,47,0.9267605633802817,1.0,0.733758865248227,1.3628455441716605,,,
slow,RUB_KGS,1,2025,0.9182050067957731,6,0.11830985915492957,0.6666666666666666,0.5316666666666666,1.2539184952978057,2.6666666666666665,20.11521192037513,2.725539312518066
fast,RUB_KGS,1,2026,0.9062679457210376,31,0.9393939393939394,1.0,0.8029032258064516,1.245480112494978,,,
slow,RUB_KGS,1,2026,0.9062679457210376,7,0.21212121212121213,1.0,0.8628571428571428,1.1589403973509935,2.142857142857143,56.55190278478526,47.33004045281541
