indicator,corridor,horizon_days,folds,signals,signal_hit_rate,random_hit_rate,lift,median_fold_lift,min_fold_lift,folds_lift_ge_1_3
momentum,RUB_KGS,1,5,216,0.7129629629629629,0.7592746913580247,0.9390053047702281,0.9377791009228937,0.8882309400444116,0
momentum,RUB_TJS,3,5,207,0.5700483091787439,0.6169565217391305,0.9239683658288308,0.9357941252924357,0.8466603951081844,0
reversal,RUB_AMD,20,5,169,0.3609467455621302,0.37092702169625247,0.9730936935020739,0.9339669015238409,0.625,1
momentum,RUB_TJS,20,5,207,0.3333333333333333,0.35314009661835744,0.9439124487004105,0.9331950822100429,0.8027829810008027,0
seasonality,RUB_KZT,5,5,151,0.47019867549668876,0.47401766004415014,0.9919433707446561,0.9318377911993098,0.8310249307479225,1
reversal,RUB_UZS,1,5,151,0.7152317880794702,0.7530242825607063,0.9498123827392121,0.9296148738379815,0.6980351602895553,1
momentum,RUB_AMD,5,5,222,0.4774774774774775,0.5368468468468469,0.8894109749958046,0.9293680297397772,0.7306183195778648,0
level,RUB_UZS,1,5,178,0.6853932584269663,0.7511235955056179,0.9124906507105461,0.9290802105915145,0.6097560975609756,0
level,RUB_TJS,20,5,158,0.34177215189873417,0.3310759493670886,1.0323073982030204,0.9276437847866421,0.7780082987551867,1
level,RUB_KZT,1,5,141,0.6453900709219859,0.712434988179669,0.9058932837801965,0.9254158863060481,0.6570302233902761,0
reversal,RUB_KZT,3,5,140,0.55,0.5353095238095238,1.0274429569007697,0.9229853116315999,0.7338551859099804,2
seasonality,RUB_AMD,20,5,193,0.29533678756476683,0.31708117443868733,0.9314232801350838,0.9228402973596516,0.7177033492822967,0
momentum,RUB_AMD,10,5,214,0.3925233644859813,0.4220716510903427,0.9299922500645826,0.9211873080859774,0.8453879391320683,0
level,RUB_KGS,1,5,179,0.7206703910614525,0.7872998137802608,0.9153696958228864,0.9197751660705161,0.5701254275940706,0
level,RUB_KGS,5,5,184,0.4945652173913043,0.5540217391304347,0.8926819697861488,0.9188846641318125,0.7183478000598624,0
level,RUB_AMD,3,5,180,0.5555555555555556,0.6293148148148149,0.8827943383456434,0.9185723854176634,0.49696300386526776,0
level,RUB_UZS,10,5,173,0.34104046242774566,0.35138728323699425,0.9705543674946536,0.9146341463414637,0.8498583569405098,0
momentum,RUB_AMD,1,5,217,0.6866359447004609,0.7614592933947774,0.9017369026245183,0.9071056610112547,0.8165487207403376,0
reversal,RUB_AMD,5,5,135,0.5185185185185185,0.5544197530864198,0.9352453905762892,0.9015777610818934,0.5347593582887701,1
momentum,RUB_UZS,3,5,202,0.5148514851485149,0.5602145214521452,0.9190255972193584,0.8965929468021517,0.7677543186180422,0
level,RUB_AMD,1,5,184,0.7065217391304348,0.7892572463768117,0.8951729520049578,0.8891084218325512,0.7900677200902932,0
level,RUB_TJS,3,5,158,0.569620253164557,0.6263502109704641,0.9094277341776417,0.8841144595493867,0.6526468455402465,0
level,RUB_TJS,1,5,186,0.7365591397849462,0.7950716845878136,0.9264059506367632,0.8833633240634714,0.6723442402510087,0
level,RUB_UZS,5,5,196,0.47959183673469385,0.533860544217687,0.8983466598706636,0.8830950378469303,0.6378454996456414,0
level,RUB_KZT,5,5,179,0.46368715083798884,0.4975232774674116,0.931990867238088,0.8784213876511777,0.6691449814126395,0
level,RUB_KZT,3,5,176,0.5,0.5509848484848485,0.907465970026124,0.8725761772853184,0.7512520868113522,0
seasonality,RUB_AMD,5,5,147,0.46938775510204084,0.5295238095238095,0.8864337101747174,0.864709061430373,0.566393958464443,1
momentum,RUB_AMD,20,5,181,0.27624309392265195,0.3572007366482504,0.7733553309960818,0.8625196027182438,0.5583756345177665,0
level,RUB_UZS,3,5,177,0.5141242937853108,0.5906591337099811,0.8704246907282236,0.861597374179431,0.4369992716678805,0
momentum,RUB_KGS,5,5,218,0.4724770642201835,0.5362996941896024,0.8809944688373154,0.8615738081562322,0.8142217397204506,0
level,RUB_AMD,5,5,180,0.5111111111111111,0.566425925925926,0.9023441331284531,0.8565310492505354,0.5772931366260422,0
level,RUB_TJS,5,5,156,0.5,0.5640384615384615,0.8864643709512445,0.8344923504867873,0.45592705167173253,0
seasonality,RUB_AMD,3,5,138,0.5072463768115942,0.5815458937198067,0.8722379132746305,0.7900280898876404,0.6489493201483313,1
