date,corridor,rub_per_unit,horizon_days,test_year,score,threshold,message_hit,future_regret_bps,moment_advantage_bps,indicator,direction,signal_strength,signal_speed,recommended_scenario,reason_code
2024-03-13,RUB_KZT,0.20245,10,2024,0.43975331604249174,0.4366919244128342,1,0.0,47.0275577555,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-03-23,RUB_KZT,0.205225,10,2024,0.49114971819005426,0.4366919244128342,1,4.0443415763,-10.3129061142,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-03-30,RUB_KZT,0.206105,10,2024,0.5306119030772461,0.4366919244128342,1,0.0,-7.2276136459,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-04-05,RUB_KZT,0.206542,10,2024,0.44871374597521935,0.4366919244128342,1,0.0,21.156873292,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-04-10,RUB_KZT,0.207975,10,2024,0.44134295499148485,0.4366919244128342,1,0.0,-3.1400992739,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-04-17,RUB_KZT,0.209725,10,2024,0.4401278983120305,0.4366919244128342,0,123.4950530457,-57.6917543473,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-04-24,RUB_KZT,0.209334,10,2024,0.4486169757096372,0.4366919244128342,0,120.7161760631,-52.6389808358,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-05-04,RUB_KZT,0.206807,10,2024,0.5404822553147186,0.4366919244128342,1,2.8529014975,46.9378662831,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-05-17,RUB_KZT,0.205985,10,2024,0.4458980661305357,0.4366919244128342,0,170.4007573367,9.5062105626,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-05-22,RUB_KZT,0.203751,10,2024,0.44478086549351903,0.4366919244128342,0,198.5757125118,40.7538614802,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-05-28,RUB_KZT,0.20012,10,2024,0.4706946971397654,0.4366919244128342,0,113.7817309614,110.5169474694,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
